Class Label Short,File_Name,Transcript,abusive,audio_path,text,file_exists
R,H_TE_001_R_F_015_001,"ఈ కాలంలో మీరు ఒకసారి ఒబ్సర్వ్ చేయండి మన స్టేటులో ఉన్న పొలిటికల్ సీనారియో ని ఒబ్సర్వ్ చేయండి, ఎవరైతే హిందుత్వానికి వ్యతిరేకంగా మాట్లాడుతున్నారో అలాంటి వాళ్ళ డేట్లు తీస్కుని ఇంటర్వ్యూ లు తీస్కునె జమానా ఒచ్చిందికానీ, అదే సనాతనధర్మ అంటే ఇతర ధర్మాల గురించి వ్యతిరేకంగా మాట్లాడితే వాళ్ళ తలనరికి రోడ్డు మీద పడ పడేసే పరిస్థితుంది. ","[0.0, 0.0, 0.0, 0.0, 1.0]",/kaggle/input/hs-telugu-npy/audio_npy/H_TE_001_R_F_015_001.npy,"ఈ కాలంలో మీరు ఒకసారి ఒబ్సర్వ్ చేయండి మన స్టేటులో ఉన్న పొలిటికల్ సీనారియో ని ఒబ్సర్వ్ చేయండి, ఎవరైతే హిందుత్వానికి వ్యతిరేకంగా మాట్లాడుతున్నారో అలాంటి వాళ్ళ డేట్లు తీస్కుని ఇంటర్వ్యూ లు తీస్కునె జమానా ఒచ్చిందికానీ, అదే సనాతనధర్మ అంటే ఇతర ధర్మాల గురించి వ్యతిరేకంగా మాట్లాడితే వాళ్ళ తలనరికి రోడ్డు మీద పడ పడేసే పరిస్థితుంది. ",True
R,H_TE_001_R_F_015_002,హిందూ థర్మాన్ని ఎవరేమన్నా కూడా వాడికొచ్చే ఒకేఒక ఆలోచన నన్ను ఎవడూ ఎం పీకలేడు ,"[0.0, 0.0, 0.0, 0.0, 1.0]",/kaggle/input/hs-telugu-npy/audio_npy/H_TE_001_R_F_015_002.npy,హిందూ థర్మాన్ని ఎవరేమన్నా కూడా వాడికొచ్చే ఒకేఒక ఆలోచన నన్ను ఎవడూ ఎం పీకలేడు ,True
R,H_TE_001_R_F_015_003,"ఒక ముస్లింనిగాని. ఒక్క నిమిషం భార్గవి కల్యాణిగారు. వారి మతాన్ని సంబంధించిగాని, క్రైస్తవుల్నిగానీ ఇతర ఏ మతాల్కి సంబంధించిగాని మీరు ఏదైనా తప్పుడు వ్యాఖ్యలు చేస్తే ఎందుకండీ, వాస్తవాలు కురాన్లో ఉన్న వాస్తవాలు మాట్లాడినందుకు మీరు తీస్కుని జైళ్లో పెడితే మూడునాల్గు నెళ్లపాటు జైళ్లో ఉన్నారు ","[0.0, 0.0, 0.0, 0.0, 1.0]",/kaggle/input/hs-telugu-npy/audio_npy/H_TE_001_R_F_015_003.npy,"ఒక ముస్లింనిగాని. ఒక్క నిమిషం భార్గవి కల్యాణిగారు. వారి మతాన్ని సంబంధించిగాని, క్రైస్తవుల్నిగానీ ఇతర ఏ మతాల్కి సంబంధించిగాని మీరు ఏదైనా తప్పుడు వ్యాఖ్యలు చేస్తే ఎందుకండీ, వాస్తవాలు కురాన్లో ఉన్న వాస్తవాలు మాట్లాడినందుకు మీరు తీస్కుని జైళ్లో పెడితే మూడునాల్గు నెళ్లపాటు జైళ్లో ఉన్నారు ",True
R,H_TE_001_R_F_015_004,ఈ సెక్యులర్ ఇండియా డెమోక్రాటిక్ ఇండియా అని మాట్లాడే ఈ భారతదేశం మీద సనాతన ధర్మం గురించి మాట్లాడే ప్రతిఒక్కడికి కూడా వెన్నులో వణుకు పుట్టే విధంగా చట్టాలు రూపొందిస్తే మాత్రమే ఈరోజు సనాతన ధర్మాన్ని వేలెత్తి చూపిచ్చడానికి ఇలాటి లుచ్చానాకొడుకులు ఎవ్వడికికూడా ధమ్ము రాదూ ధైర్యం చెయ్యరు  ,"[0.0, 0.0, 0.0, 0.0, 1.0]",/kaggle/input/hs-telugu-npy/audio_npy/H_TE_001_R_F_015_004.npy,ఈ సెక్యులర్ ఇండియా డెమోక్రాటిక్ ఇండియా అని మాట్లాడే ఈ భారతదేశం మీద సనాతన ధర్మం గురించి మాట్లాడే ప్రతిఒక్కడికి కూడా వెన్నులో వణుకు పుట్టే విధంగా చట్టాలు రూపొందిస్తే మాత్రమే ఈరోజు సనాతన ధర్మాన్ని వేలెత్తి చూపిచ్చడానికి ఇలాటి లుచ్చానాకొడుకులు ఎవ్వడికికూడా ధమ్ము రాదూ ధైర్యం చెయ్యరు  ,True
R,H_TE_001_R_F_015_005,"హిందువులున్న ఈ భారతదేశంలో ,ఈ భారతదేశంలో , సనాతన ధర్మం పుట్టిన ఈ గడ్డమీద ఈరోజు సనాతన ధర్మాన్ని వేలెత్తి చూపిస్త్నారంటే హిందువులు ఐక్యమత్య ఐక్యమత్యం లేకపోడమే. కేవలం వాళ్ళ రాజకీయలబ్ది కోసం పార్టీలు మారుతున్న ఈ హిందువులు మాత్రమే ","[0.0, 0.0, 0.0, 0.0, 1.0]",/kaggle/input/hs-telugu-npy/audio_npy/H_TE_001_R_F_015_005.npy,"హిందువులున్న ఈ భారతదేశంలో ,ఈ భారతదేశంలో , సనాతన ధర్మం పుట్టిన ఈ గడ్డమీద ఈరోజు సనాతన ధర్మాన్ని వేలెత్తి చూపిస్త్నారంటే హిందువులు ఐక్యమత్య ఐక్యమత్యం లేకపోడమే. కేవలం వాళ్ళ రాజకీయలబ్ది కోసం పార్టీలు మారుతున్న ఈ హిందువులు మాత్రమే ",True
R,H_TE_001_R_F_015_006,"లేకపోతే ఒక గ్రూప్ ఆఫ్ పీపులుంటే, నా కులపోళ్ళంటే పక్క కులపోళ్ళను డోమినేట్ చేయాలి లేకపోతే ఆ కులపోడు మా కులపోడని డోమినేట్ చేయాలనేది ఒచ్చేస్తుంది ","[0.0, 0.0, 0.0, 0.0, 1.0]",/kaggle/input/hs-telugu-npy/audio_npy/H_TE_001_R_F_015_006.npy,"లేకపోతే ఒక గ్రూప్ ఆఫ్ పీపులుంటే, నా కులపోళ్ళంటే పక్క కులపోళ్ళను డోమినేట్ చేయాలి లేకపోతే ఆ కులపోడు మా కులపోడని డోమినేట్ చేయాలనేది ఒచ్చేస్తుంది ",True
R,H_TE_001_R_F_015_007,"ఇంత గొప్ప ధర్మముంధీ ఈ భారతదేశంమీద, కానీ ఇదే వర్ణాసిస్టమని ఇదే క్యాస్ట్ సిస్టమని ఎవరైతే వేదాలు చదువుతారో వాళ్లనే టార్గెట్ చేస్తూ వాళ్ళే సుపీరియరంటే ఒబ్వియస్లీ అండీ  ","[0.0, 0.0, 0.0, 0.0, 1.0]",/kaggle/input/hs-telugu-npy/audio_npy/H_TE_001_R_F_015_007.npy,"ఇంత గొప్ప ధర్మముంధీ ఈ భారతదేశంమీద, కానీ ఇదే వర్ణాసిస్టమని ఇదే క్యాస్ట్ సిస్టమని ఎవరైతే వేదాలు చదువుతారో వాళ్లనే టార్గెట్ చేస్తూ వాళ్ళే సుపీరియరంటే ఒబ్వియస్లీ అండీ  ",True
R,H_TE_001_R_F_015_008,అరె క్యాస్టు సిస్టమ్ అబోలిష్ చేయ్మంటే సగంమంది ఎస్సీ ఎస్టీలు రోడ్డుమీదకొస్తారు మా రిజర్వేషన్ దొరకదని చెప్పేసి  ,"[0.0, 0.0, 0.0, 0.0, 1.0]",/kaggle/input/hs-telugu-npy/audio_npy/H_TE_001_R_F_015_008.npy,అరె క్యాస్టు సిస్టమ్ అబోలిష్ చేయ్మంటే సగంమంది ఎస్సీ ఎస్టీలు రోడ్డుమీదకొస్తారు మా రిజర్వేషన్ దొరకదని చెప్పేసి  ,True
R,H_TE_001_R_F_015_009,"హిందూ ధర్మమగురించి మాట్లాడితే మెం కమ్యూనల్ ఐపోయాం ఈరోజు మామీద పీడి  యాక్టులు పడ్తున్నాయి, జైళ్ళకెళ్లే పరిస్థితుంది, అదే ఫేస్బుక్ ఓపెన్ చేయండి ముస్లీమ్స్ పెడ్తారు, అరే నేన్ పదిమందిని కన్నారా ఇంకో పదిమందిని కంటా నా జనాభా పెంచుకుంటా, రేపురేపు ఈ భరతదే భారతదేశంలో పాకిస్థాన్ జండా ఎగరేస్తా అని వాడు ఈసీగా ఫెస్బుక్లలొ పెట్టుకోగల్గతాడు ","[0.0, 0.0, 0.0, 0.0, 1.0]",/kaggle/input/hs-telugu-npy/audio_npy/H_TE_001_R_F_015_009.npy,"హిందూ ధర్మమగురించి మాట్లాడితే మెం కమ్యూనల్ ఐపోయాం ఈరోజు మామీద పీడి  యాక్టులు పడ్తున్నాయి, జైళ్ళకెళ్లే పరిస్థితుంది, అదే ఫేస్బుక్ ఓపెన్ చేయండి ముస్లీమ్స్ పెడ్తారు, అరే నేన్ పదిమందిని కన్నారా ఇంకో పదిమందిని కంటా నా జనాభా పెంచుకుంటా, రేపురేపు ఈ భరతదే భారతదేశంలో పాకిస్థాన్ జండా ఎగరేస్తా అని వాడు ఈసీగా ఫెస్బుక్లలొ పెట్టుకోగల్గతాడు ",True
R,H_TE_001_R_F_019_001,"కాంగ్రెస్ గవర్నమెంట్ ఒచ్చిన తర్వాత స్వతంత్ర భారతదేశంలో మొదటి ఎడ్యుకేషన్ మినిస్టరు ఒక  ముస్లీమ్స్కీచ్చి  ఇప్పడకీ కూడా సోషల్ టెక్స్టుబుక్స్లో  హిస్టరీలో చెప్పారంటే, అక్బర్ బార్బర్ బీబర్ ఎవడ్రా  వీళ్ళందరూ, దేశాన్ని ధర్మాన్ని మట్టిపెట్టినోళ్లు, నలభైతొమ్మిది వేల గుళ్లను  ధ్వంసం  చేసినోళ్లు  వాళ్ళ చరిత్రను ఈ పిల్లలు ఎందుకు చదువుకోవాలి   ","[0.0, 0.0, 0.0, 0.0, 1.0]",/kaggle/input/hs-telugu-npy/audio_npy/H_TE_001_R_F_019_001.npy,"కాంగ్రెస్ గవర్నమెంట్ ఒచ్చిన తర్వాత స్వతంత్ర భారతదేశంలో మొదటి ఎడ్యుకేషన్ మినిస్టరు ఒక  ముస్లీమ్స్కీచ్చి  ఇప్పడకీ కూడా సోషల్ టెక్స్టుబుక్స్లో  హిస్టరీలో చెప్పారంటే, అక్బర్ బార్బర్ బీబర్ ఎవడ్రా  వీళ్ళందరూ, దేశాన్ని ధర్మాన్ని మట్టిపెట్టినోళ్లు, నలభైతొమ్మిది వేల గుళ్లను  ధ్వంసం  చేసినోళ్లు  వాళ్ళ చరిత్రను ఈ పిల్లలు ఎందుకు చదువుకోవాలి   ",True
